Date,PageName,TrafficSource,TrafficType,Users,Sessions,BounceRate,SessionDurationSeconds,PagesPerSession,EngagementRate,ConversionRate,GoalCompletions,EventCount,PagePerformance
2025-01-06,Blog,Paid Search,Paid,5,6,0.5288,145.42,1.2,0.4844,0.0414,0,9,Average Performing
2025-01-07,Blog,Direct,Direct,6,8,0.401,337.13,5.97,0.566,0.1059,3,82,Average Performing
2025-01-07,Services,Direct,Direct,8,11,0.4804,236.16,3.43,0.5869,0.0714,1,103,Average Performing
2025-01-07,Blog,Paid Search,Paid,10,11,0.5015,219.36,1.79,0.4368,0.0601,2,79,Average Performing
2025-01-07,Landing Page,Direct,Direct,5,5,0.5496,123.54,1.0,0.4392,0.017,0,25,Average Performing
2025-01-07,About,Direct,Direct,8,8,0.4073,387.79,4.53,0.6153,0.079,1,103,High Performing
2025-01-07,Home,Direct,Direct,9,10,0.4966,114.19,2.6,0.4396,0.0609,0,76,Low Performing
2025-01-08,Blog,Direct,Direct,10,10,0.4089,386.8,11.41,0.5816,0.177,0,233,Average Performing
2025-01-08,Blog,Paid Search,Paid,6,7,0.4956,184.73,1.0,0.5443,0.0251,1,7,Average Performing
2025-01-08,Home,Referral,Referral,3,4,0.5384,110.32,5.53,0.4257,0.0934,0,53,Low Performing
2025-01-08,About,Referral,Referral,4,5,0.4653,122.28,3.65,0.507,0.0457,0,41,High Performing
2025-01-08,Checkout,Social,Social,3,6,0.5728,141.38,4.61,0.4161,0.1012,0,59,Average Performing
2025-01-08,Home,Referral,Referral,2,3,0.4641,106.09,2.22,0.5616,0.0388,0,8,Low Performing
2025-01-09,Home,Social,Social,1,4,0.5183,112.23,1.67,0.4035,0.0318,0,25,Low Performing
2025-01-09,Pricing,Organic Search,Organic,6,7,0.5154,126.02,4.86,0.555,0.0716,1,77,High Performing
2025-01-09,Products,Direct,Direct,6,9,0.5271,510.49,1.0,0.4127,0.0359,1,54,Low Performing
2025-01-09,Blog,Social,Social,7,11,0.4617,310.44,1.88,0.5703,0.0193,0,49,Average Performing
2025-01-09,About,Direct,Direct,6,10,0.4628,332.58,3.1,0.5008,0.0469,0,74,High Performing
2025-01-09,FAQ,Paid Search,Paid,3,6,0.583,118.58,1.0,0.469,0.0193,0,1,Low Performing
2025-01-09,Blog,Social,Social,10,13,0.5093,34.63,2.39,0.4785,0.0435,2,69,Average Performing
2025-01-09,About,Paid Search,Paid,3,3,0.4941,71.56,2.97,0.49,0.0492,0,33,High Performing
2025-01-10,About,Referral,Referral,9,10,0.4068,36.33,2.25,0.6665,0.0019,0,53,High Performing
2025-01-10,Pricing,Organic Search,Organic,5,7,0.4394,139.64,2.56,0.5566,0.0418,0,14,High Performing
2025-01-10,Home,Paid Search,Paid,2,4,0.6075,41.51,1.39,0.4298,0.0313,0,25,Low Performing
2025-01-10,About,Direct,Direct,8,10,0.4487,116.12,5.94,0.602,0.0958,0,121,High Performing
2025-01-10,Landing Page,Organic Search,Organic,1,2,0.5861,83.02,7.18,0.3775,0.1069,0,30,Average Performing
2025-01-10,FAQ,Organic Search,Organic,5,5,0.5624,71.39,1.46,0.4672,0.0316,1,27,Low Performing
2025-01-10,Products,Organic Search,Organic,2,3,0.5104,109.07,6.52,0.5141,0.1033,1,48,Low Performing
2025-01-10,Pricing,Paid Search,Paid,8,10,0.5645,150.3,2.49,0.3362,0.0094,0,79,High Performing
2025-01-10,Blog,Organic Search,Organic,6,6,0.4507,224.44,2.19,0.5293,0.061,0,46,Average Performing
2025-01-10,Contact,Organic Search,Organic,9,10,0.3513,532.39,8.06,0.6972,0.1442,1,218,High Performing
2025-01-11,Services,Social,Social,5,5,0.4018,233.23,2.67,0.5904,0.0533,1,38,Average Performing
2025-01-11,Checkout,Direct,Direct,6,8,0.5313,154.03,2.48,0.4753,0.0072,0,74,Average Performing
2025-01-11,Home,Direct,Direct,4,5,0.6149,306.76,1.46,0.4073,0.0549,1,14,Low Performing
2025-01-11,Blog,Direct,Direct,11,12,0.5744,133.64,7.51,0.3592,0.1247,1,163,Average Performing
2025-01-11,Blog,Paid Search,Paid,1,1,0.535,169.91,2.08,0.3598,0.0312,0,7,Average Performing
2025-01-12,Home,Organic Search,Organic,5,7,0.5245,271.2,3.43,0.4546,0.0609,0,65,Low Performing
2025-01-12,Blog,Referral,Referral,8,10,0.4559,343.64,1.93,0.5367,0.0411,0,66,Average Performing
2025-01-12,Checkout,Paid Search,Paid,6,6,0.4855,161.79,4.61,0.5159,0.0989,0,62,Average Performing
2025-01-12,Blog,Social,Social,3,3,0.4968,137.29,1.0,0.435,0.022,0,11,Average Performing
2025-01-12,Contact,Direct,Direct,9,11,0.4879,143.02,1.83,0.5486,0.027,0,24,High Performing
2025-01-12,Pricing,Direct,Direct,9,9,0.4459,156.49,3.88,0.5404,0.0512,0,86,High Performing
2025-01-12,Pricing,Paid Search,Paid,7,7,0.4952,126.69,2.57,0.4961,0.0367,1,54,High Performing
2025-01-12,Landing Page,Referral,Referral,11,11,0.4979,86.3,2.65,0.4915,0.0487,1,96,Average Performing
2025-01-13,Products,Organic Search,Organic,5,6,0.4501,79.66,3.71,0.5628,0.0184,0,54,Low Performing
2025-01-13,Products,Social,Social,1,2,0.4448,175.25,5.6,0.5897,0.0844,0,21,Low Performing
2025-01-13,Home,Organic Search,Organic,2,3,0.5608,204.16,1.08,0.4722,0.0644,1,10,Low Performing
2025-01-13,Blog,Direct,Direct,3,4,0.4849,67.43,4.01,0.5713,0.0363,0,40,Average Performing
2025-01-13,Home,Paid Search,Paid,9,10,0.4887,20.0,6.39,0.4952,0.1248,0,112,Low Performing
2025-01-13,Landing Page,Referral,Referral,4,4,0.4763,100.9,3.0,0.5669,0.0703,0,32,Average Performing
2025-01-14,About,Direct,Direct,9,10,0.3623,224.75,1.0,0.6137,0.03,0,39,High Performing
2025-01-14,FAQ,Direct,Direct,1,3,0.4232,457.23,3.68,0.5593,0.1025,0,29,Low Performing
2025-01-14,Products,Social,Social,7,10,0.445,97.32,3.4,0.5073,0.0578,0,54,Low Performing
2025-01-14,Home,Direct,Direct,11,11,0.455,184.65,1.33,0.6327,0.0373,0,1,Low Performing
2025-01-14,Products,Organic Search,Organic,3,4,0.4702,247.23,5.05,0.552,0.1042,1,43,Low Performing
2025-01-14,Pricing,Organic Search,Organic,5,7,0.5306,231.3,4.21,0.5382,0.0822,0,39,High Performing
2025-01-14,Products,Organic Search,Organic,1,2,0.4848,261.85,4.49,0.4733,0.1085,0,23,Low Performing
2025-01-15,Landing Page,Social,Social,6,7,0.5156,214.34,1.71,0.5229,0.0734,0,34,Average Performing
2025-01-15,Landing Page,Referral,Referral,5,7,0.4772,127.57,1.94,0.5152,0.0437,0,36,Average Performing
2025-01-15,About,Organic Search,Organic,6,9,0.4267,111.26,3.33,0.5486,0.0425,1,60,High Performing
2025-01-15,Home,Paid Search,Paid,10,11,0.5268,207.41,4.18,0.4703,0.0756,1,105,Low Performing
2025-01-15,Services,Referral,Referral,10,12,0.4737,75.41,1.7,0.5565,0.0391,0,47,Average Performing
2025-01-15,About,Direct,Direct,11,11,0.4729,171.95,6.21,0.4783,0.0947,1,127,High Performing
2025-01-16,Services,Organic Search,Organic,10,10,0.6081,225.77,3.63,0.4012,0.0902,1,69,Average Performing
2025-01-16,Services,Direct,Direct,1,1,0.4661,47.63,5.34,0.6031,0.0591,0,14,Average Performing
2025-01-16,Products,Organic Search,Organic,7,8,0.5878,112.65,1.13,0.4329,0.0411,1,39,Low Performing
2025-01-16,About,Paid Search,Paid,8,9,0.5117,620.26,1.0,0.5195,0.0303,0,39,High Performing
2025-01-16,About,Organic Search,Organic,9,9,0.466,63.02,2.86,0.5372,0.0428,1,75,High Performing
2025-01-16,Landing Page,Organic Search,Organic,3,4,0.5224,272.07,1.0,0.5378,0.0308,0,10,Average Performing
2025-01-16,FAQ,Organic Search,Organic,1,1,0.4531,213.18,3.05,0.5574,0.046,0,7,Low Performing
2025-01-16,Checkout,Paid Search,Paid,8,9,0.6295,136.66,1.0,0.4031,0.0244,0,35,Average Performing
2025-01-16,Services,Referral,Referral,4,4,0.6575,124.24,1.7,0.2962,0.0377,0,27,Average Performing
2025-01-16,Services,Direct,Direct,11,11,0.5034,133.28,2.4,0.4916,0.0659,1,80,Average Performing
2025-01-16,Products,Organic Search,Organic,4,5,0.4973,181.72,1.0,0.4604,0.0378,0,14,Low Performing
2025-01-17,Home,Paid Search,Paid,10,11,0.5163,165.67,5.89,0.4518,0.0898,1,139,Low Performing
2025-01-17,Blog,Referral,Referral,4,4,0.4926,330.9,3.15,0.4993,0.0591,0,46,Average Performing
2025-01-17,Home,Referral,Referral,8,8,0.511,230.94,1.46,0.4988,0.0365,0,46,Low Performing
2025-01-17,Services,Paid Search,Paid,6,6,0.4437,133.24,1.89,0.5999,0.08,0,27,Average Performing
2025-01-17,Home,Paid Search,Paid,8,10,0.4158,242.33,6.64,0.6144,0.0794,1,156,Low Performing
2025-01-17,Home,Direct,Direct,11,16,0.4825,316.91,2.24,0.5502,0.0735,1,85,Low Performing
2025-01-18,Blog,Paid Search,Paid,2,3,0.5305,184.85,2.41,0.4453,0.0483,1,14,Average Performing
2025-01-18,Services,Referral,Referral,5,6,0.5481,29.49,1.32,0.4714,0.0615,0,27,Average Performing
2025-01-18,Blog,Paid Search,Paid,11,13,0.592,414.58,2.1,0.4023,0.0653,0,78,Average Performing
2025-01-18,Products,Referral,Referral,2,4,0.5232,44.49,2.67,0.4266,0.0845,0,20,Low Performing
2025-01-18,Services,Organic Search,Organic,10,11,0.3961,445.24,1.51,0.6212,0.0725,0,36,Average Performing
2025-01-18,Contact,Referral,Referral,7,8,0.4493,122.31,6.57,0.5795,0.1405,2,124,High Performing
2025-01-18,Blog,Organic Search,Organic,1,3,0.4821,181.93,1.81,0.5903,0.0158,1,16,Average Performing
2025-01-18,Home,Organic Search,Organic,9,9,0.5179,80.3,1.13,0.4679,0.0321,1,28,Low Performing
2025-01-18,Landing Page,Direct,Direct,3,3,0.4422,355.67,2.64,0.5857,0.0465,0,28,Average Performing
2025-01-18,Home,Referral,Referral,7,8,0.4669,218.76,2.16,0.5295,0.0506,0,39,Low Performing
2025-01-18,About,Direct,Direct,6,8,0.4252,79.45,3.67,0.5718,0.0853,0,72,High Performing
2025-01-19,Contact,Organic Search,Organic,5,7,0.5239,154.65,2.23,0.5103,0.0335,0,49,High Performing
2025-01-19,Landing Page,Referral,Referral,10,13,0.4614,166.74,1.23,0.5705,0.0193,0,32,Average Performing
2025-01-19,Home,Paid Search,Paid,6,6,0.516,239.95,1.08,0.4114,0.0361,0,36,Low Performing
2025-01-19,Pricing,Referral,Referral,11,15,0.5516,127.64,3.25,0.4986,0.0639,1,128,High Performing
2025-01-19,Blog,Organic Search,Organic,8,8,0.4863,84.46,1.0,0.5195,0.0154,0,26,Average Performing
2025-01-19,Home,Direct,Direct,3,5,0.526,226.56,4.79,0.4899,0.0742,1,45,Low Performing
2025-01-19,Services,Social,Social,10,10,0.5344,152.95,2.63,0.5626,0.0511,0,59,Average Performing
2025-01-19,Contact,Paid Search,Paid,5,5,0.4575,64.95,2.77,0.5893,0.0536,0,26,High Performing
2025-01-19,Services,Referral,Referral,5,6,0.5085,160.65,3.77,0.5202,0.0698,1,44,Average Performing
2025-01-20,Services,Social,Social,11,13,0.5072,83.53,3.13,0.5129,0.0654,1,109,Average Performing
2025-01-20,Checkout,Direct,Direct,1,2,0.4646,425.22,2.01,0.5727,0.0475,0,8,Average Performing
2025-01-20,Blog,Social,Social,7,8,0.3828,73.47,1.0,0.6277,0.0243,2,9,Average Performing
2025-01-20,Contact,Social,Social,4,4,0.3384,344.32,2.0,0.6749,0.0738,1,25,High Performing
2025-01-21,Home,Organic Search,Organic,5,6,0.4821,150.51,1.64,0.5248,0.0399,0,27,Low Performing
2025-01-21,Landing Page,Organic Search,Organic,4,6,0.5582,26.31,1.0,0.4336,0.0326,0,23,Average Performing
2025-01-21,FAQ,Social,Social,3,5,0.4516,316.39,1.79,0.5302,0.0288,1,38,Low Performing
2025-01-21,Home,Paid Search,Paid,2,5,0.474,315.02,2.06,0.5741,0.0446,0,26,Low Performing
2025-01-21,Products,Social,Social,7,9,0.5192,129.61,1.0,0.5438,0.0446,1,33,Low Performing
2025-01-22,Pricing,Social,Social,1,3,0.5553,565.03,1.87,0.4589,0.0437,1,18,High Performing
2025-01-22,Home,Referral,Referral,8,10,0.482,149.0,1.87,0.4838,0.0642,0,66,Low Performing
2025-01-22,Pricing,Organic Search,Organic,1,2,0.4928,467.75,2.77,0.5801,0.0744,0,8,High Performing
2025-01-22,Services,Paid Search,Paid,7,7,0.577,145.28,2.55,0.4007,0.085,0,56,Average Performing
2025-01-22,About,Paid Search,Paid,2,3,0.478,300.33,3.18,0.6033,0.0586,1,28,High Performing
2025-01-22,Blog,Direct,Direct,8,8,0.4803,137.83,2.16,0.5461,0.0273,1,39,Average Performing
2025-01-23,Services,Direct,Direct,1,2,0.524,47.27,2.88,0.5159,0.0405,0,15,Average Performing
2025-01-23,Services,Referral,Referral,10,11,0.5742,164.12,1.87,0.4199,0.043,0,35,Average Performing
2025-01-23,Blog,Organic Search,Organic,7,8,0.5646,30.79,1.0,0.4619,0.0614,0,14,Average Performing
2025-01-24,Pricing,Referral,Referral,4,6,0.4814,185.99,8.46,0.5742,0.1332,1,99,High Performing
2025-01-24,Pricing,Paid Search,Paid,7,7,0.4384,83.94,5.31,0.5178,0.0983,1,81,High Performing
2025-01-25,Contact,Direct,Direct,10,11,0.5295,125.92,3.89,0.3949,0.0942,2,97,High Performing
2025-01-25,Products,Direct,Direct,8,9,0.5446,97.26,2.73,0.4961,0.0639,0,69,Low Performing
2025-01-25,Home,Organic Search,Organic,6,6,0.4947,105.94,3.28,0.5363,0.0332,0,65,Low Performing
2025-01-25,Checkout,Social,Social,1,2,0.4529,114.34,2.97,0.512,0.0824,0,13,Average Performing
2025-01-25,Services,Paid Search,Paid,1,2,0.5235,193.01,5.01,0.5633,0.0738,1,22,Average Performing
2025-01-25,Blog,Paid Search,Paid,10,12,0.5207,112.08,3.31,0.5833,0.0506,0,80,Average Performing
2025-01-25,Contact,Social,Social,11,11,0.4613,74.5,2.34,0.5223,0.0484,2,65,High Performing
2025-01-25,Products,Organic Search,Organic,11,14,0.453,677.19,1.0,0.4885,0.0399,1,1,Low Performing
2025-01-25,Contact,Referral,Referral,11,12,0.4863,281.38,6.22,0.4465,0.1046,3,154,High Performing
2025-01-26,Pricing,Referral,Referral,9,9,0.3506,113.16,7.36,0.6264,0.094,0,145,High Performing
2025-01-26,Home,Referral,Referral,10,12,0.5257,210.93,1.0,0.5025,0.0457,0,28,Low Performing
2025-01-26,Contact,Organic Search,Organic,4,4,0.6333,129.32,1.0,0.3767,0.036,0,8,High Performing
2025-01-26,Home,Social,Social,1,3,0.5738,181.95,1.72,0.4617,0.0609,0,13,Low Performing
2025-01-26,Services,Direct,Direct,9,10,0.5169,85.95,1.0,0.4924,0.0169,0,3,Average Performing
2025-01-26,Blog,Referral,Referral,11,13,0.4701,189.43,1.05,0.4574,0.0474,0,48,Average Performing
2025-01-26,Home,Organic Search,Organic,8,8,0.4694,175.15,4.06,0.4707,0.0719,2,38,Low Performing
2025-01-26,Products,Organic Search,Organic,8,9,0.4528,289.71,1.37,0.6133,0.0623,1,12,Low Performing
2025-01-27,Contact,Referral,Referral,4,6,0.5094,110.5,1.0,0.4309,0.0584,0,22,High Performing
2025-01-27,Products,Organic Search,Organic,6,7,0.5172,134.17,1.34,0.442,0.014,0,12,Low Performing
2025-01-27,Services,Organic Search,Organic,7,7,0.5075,217.37,1.86,0.4444,0.0154,0,38,Average Performing
2025-01-27,Blog,Organic Search,Organic,8,8,0.5437,178.49,4.9,0.4555,0.0637,1,99,Average Performing
2025-01-27,Home,Organic Search,Organic,7,10,0.5053,142.89,4.94,0.4584,0.12,0,119,Low Performing
2025-01-28,Services,Organic Search,Organic,2,4,0.4873,264.51,1.96,0.5321,0.0292,0,33,Average Performing
2025-01-28,Home,Paid Search,Paid,2,3,0.5192,361.66,2.03,0.4812,0.0475,0,20,Low Performing
2025-01-28,Products,Organic Search,Organic,10,11,0.5541,178.0,1.28,0.4051,0.0399,0,39,Low Performing
2025-01-28,FAQ,Social,Social,6,7,0.485,267.73,1.97,0.4471,0.0589,0,43,Low Performing
2025-01-28,Pricing,Organic Search,Organic,5,6,0.4681,109.13,1.15,0.5742,0.0294,0,7,High Performing
2025-01-29,FAQ,Direct,Direct,10,13,0.4217,232.4,3.18,0.5964,0.0261,0,102,Low Performing
2025-01-29,Home,Referral,Referral,9,9,0.537,304.72,2.62,0.438,0.0519,1,91,Low Performing
2025-01-29,Pricing,Direct,Direct,5,7,0.5605,225.39,2.01,0.4579,0.1095,2,42,High Performing
2025-01-29,Checkout,Social,Social,4,4,0.5205,230.75,2.77,0.4854,0.0496,0,32,Average Performing
2025-01-30,Checkout,Organic Search,Organic,3,5,0.3635,222.68,5.63,0.6705,0.0705,0,65,Average Performing
2025-01-30,FAQ,Direct,Direct,9,10,0.4978,108.48,1.74,0.5303,0.0187,0,71,Low Performing
2025-01-30,Blog,Organic Search,Organic,6,8,0.4729,125.84,4.99,0.5227,0.0824,0,67,Average Performing
2025-01-30,Products,Paid Search,Paid,3,3,0.4918,138.98,3.88,0.4962,0.0744,0,29,Low Performing
2025-01-30,Checkout,Organic Search,Organic,10,12,0.4634,166.27,6.27,0.5503,0.0853,2,162,Average Performing
2025-01-30,Services,Organic Search,Organic,4,7,0.5665,150.62,5.21,0.4559,0.0981,1,100,Average Performing
2025-01-30,Landing Page,Referral,Referral,2,4,0.4922,259.61,6.25,0.501,0.1056,3,58,Average Performing
2025-01-30,Pricing,Social,Social,10,11,0.516,33.89,2.62,0.4446,0.0659,0,45,High Performing
2025-01-31,Products,Organic Search,Organic,2,2,0.5222,85.05,1.97,0.554,0.0529,0,11,Low Performing
2025-01-31,Products,Organic Search,Organic,5,7,0.5036,259.71,4.1,0.4281,0.0416,0,73,Low Performing
2025-02-01,Blog,Social,Social,2,2,0.5323,268.14,2.07,0.5261,0.0607,0,19,Average Performing
2025-02-01,Pricing,Paid Search,Paid,2,4,0.4829,162.49,2.76,0.5013,0.055,0,33,High Performing
2025-02-01,Services,Organic Search,Organic,1,2,0.4295,215.68,5.62,0.5135,0.0846,0,22,Average Performing
2025-02-01,Services,Direct,Direct,11,12,0.3748,32.8,2.27,0.6377,0.0472,2,98,Average Performing
2025-02-01,Checkout,Paid Search,Paid,6,7,0.5044,160.97,8.69,0.4796,0.1258,2,121,Average Performing
2025-02-01,Blog,Direct,Direct,9,10,0.5105,33.75,1.55,0.531,0.0248,1,17,Average Performing
2025-02-02,Services,Organic Search,Organic,6,6,0.4731,61.07,3.6,0.5,0.0914,1,54,Average Performing
2025-02-02,Blog,Direct,Direct,1,1,0.4563,172.92,3.43,0.6003,0.047,0,11,Average Performing
2025-02-03,Checkout,Direct,Direct,6,7,0.5709,217.62,2.21,0.3487,0.0365,1,35,Average Performing
2025-02-03,Home,Organic Search,Organic,1,2,0.4425,111.43,7.28,0.5611,0.1407,0,28,Low Performing
2025-02-03,Home,Organic Search,Organic,11,12,0.5291,261.33,2.29,0.4616,0.0434,0,54,Low Performing
2025-02-03,Pricing,Paid Search,Paid,9,9,0.3733,255.0,1.67,0.6373,0.0319,1,64,High Performing
2025-02-03,Pricing,Organic Search,Organic,11,13,0.5937,279.46,1.19,0.3829,0.041,1,57,High Performing
2025-02-03,Pricing,Paid Search,Paid,4,5,0.5565,34.0,7.81,0.4306,0.1198,0,75,High Performing
2025-02-03,Blog,Organic Search,Organic,7,8,0.5112,109.81,2.12,0.5207,0.0658,0,16,Average Performing
2025-02-03,Home,Organic Search,Organic,10,11,0.4491,602.38,4.16,0.5988,0.0521,1,105,Low Performing
2025-02-04,Home,Organic Search,Organic,2,2,0.5445,252.71,1.42,0.439,0.0237,0,9,Low Performing
2025-02-04,Contact,Organic Search,Organic,11,11,0.4616,306.2,2.19,0.5302,0.0532,1,69,High Performing
2025-02-04,Products,Organic Search,Organic,9,9,0.4388,219.78,1.37,0.5854,0.0734,0,41,Low Performing
2025-02-04,About,Social,Social,6,7,0.5709,239.64,1.2,0.4656,0.0284,0,11,High Performing
2025-02-04,About,Organic Search,Organic,9,10,0.5292,79.45,3.7,0.4164,0.0625,1,90,High Performing
2025-02-04,Blog,Social,Social,9,10,0.3926,485.13,1.49,0.597,0.0523,2,54,Average Performing
2025-02-04,Services,Organic Search,Organic,3,4,0.523,27.15,3.51,0.4647,0.0741,0,34,Average Performing
2025-02-04,Products,Paid Search,Paid,9,9,0.4124,227.75,5.45,0.5606,0.0681,1,81,Low Performing
2025-02-05,Products,Direct,Direct,4,4,0.5145,121.81,1.0,0.4739,0.0101,0,13,Low Performing
2025-02-05,Products,Organic Search,Organic,3,4,0.5465,106.89,1.39,0.4639,0.0408,0,24,Low Performing
2025-02-05,Services,Organic Search,Organic,8,8,0.5598,81.24,3.61,0.3614,0.0406,0,72,Average Performing
2025-02-05,Home,Direct,Direct,10,10,0.5107,337.58,1.0,0.451,0.016,0,12,Low Performing
2025-02-06,Blog,Paid Search,Paid,1,3,0.3976,233.62,3.86,0.5412,0.0661,0,23,Average Performing
2025-02-06,Products,Direct,Direct,10,11,0.4645,84.85,2.85,0.5327,0.076,0,95,Low Performing
2025-02-06,Contact,Organic Search,Organic,9,10,0.4764,43.49,3.02,0.493,0.0551,0,75,High Performing
2025-02-07,Services,Paid Search,Paid,3,6,0.5876,258.98,1.0,0.4504,0.0281,0,23,Average Performing
2025-02-07,About,Paid Search,Paid,1,3,0.543,141.21,1.0,0.4336,0.0222,0,13,High Performing
2025-02-07,Products,Referral,Referral,1,2,0.464,262.81,1.45,0.5452,0.0506,0,14,Low Performing
2025-02-08,Landing Page,Organic Search,Organic,2,2,0.5024,177.29,3.55,0.5091,0.0639,0,20,Average Performing
2025-02-08,Services,Paid Search,Paid,5,8,0.5705,223.3,1.0,0.4827,0.0401,0,48,Average Performing
2025-02-08,Landing Page,Organic Search,Organic,11,11,0.3937,259.43,5.28,0.5436,0.0357,0,141,Average Performing
2025-02-08,Blog,Direct,Direct,4,6,0.577,307.35,3.81,0.3951,0.0856,0,48,Average Performing
2025-02-08,Home,Direct,Direct,11,11,0.4743,270.03,1.54,0.5472,0.0293,0,48,Low Performing
2025-02-08,Services,Direct,Direct,10,10,0.5337,117.96,2.02,0.5398,0.0456,0,87,Average Performing
2025-02-08,Checkout,Social,Social,11,12,0.4569,285.88,2.21,0.594,0.0717,0,121,Average Performing
2025-02-09,Services,Direct,Direct,6,8,0.627,105.75,1.0,0.3956,0.0278,0,46,Average Performing
2025-02-09,Products,Paid Search,Paid,6,9,0.4428,52.78,4.29,0.5386,0.1023,2,101,Low Performing
2025-02-10,FAQ,Organic Search,Organic,6,6,0.4622,279.61,3.84,0.5644,0.0798,0,49,Low Performing
2025-02-10,Home,Organic Search,Organic,9,9,0.4664,53.53,2.7,0.5759,0.0277,0,57,Low Performing
2025-02-10,Blog,Organic Search,Organic,7,9,0.4779,196.32,1.0,0.4568,0.0171,0,50,Average Performing
2025-02-10,Blog,Referral,Referral,8,8,0.5328,216.84,1.33,0.4144,0.0373,0,47,Average Performing
2025-02-11,Services,Paid Search,Paid,1,2,0.5334,173.09,1.2,0.526,0.0251,0,6,Average Performing
2025-02-11,Pricing,Social,Social,7,8,0.4666,20.0,2.57,0.569,0.0721,1,48,High Performing
2025-02-11,Landing Page,Referral,Referral,3,3,0.3984,81.0,3.6,0.6247,0.0605,1,31,Average Performing
2025-02-11,About,Social,Social,11,13,0.463,151.42,2.61,0.5398,0.0484,0,77,High Performing
2025-02-11,Blog,Referral,Referral,9,10,0.548,210.92,1.88,0.5146,0.0538,0,21,Average Performing
2025-02-11,Pricing,Paid Search,Paid,10,11,0.5191,94.69,1.49,0.5062,0.0452,1,82,High Performing
2025-02-11,About,Paid Search,Paid,1,3,0.5501,332.92,1.01,0.4159,0.0153,0,13,High Performing
2025-02-11,Home,Direct,Direct,8,9,0.4831,293.11,3.15,0.5553,0.0478,0,69,Low Performing
2025-02-11,Landing Page,Organic Search,Organic,1,1,0.4769,294.22,1.0,0.609,0.0595,0,1,Average Performing
2025-02-11,Blog,Organic Search,Organic,10,10,0.6305,91.85,2.14,0.4127,0.0576,0,42,Average Performing
2025-02-11,Blog,Organic Search,Organic,7,7,0.4797,311.13,3.84,0.5535,0.0833,1,44,Average Performing
2025-02-11,Home,Direct,Direct,8,8,0.4815,481.08,1.36,0.5211,0.05,1,25,Low Performing
